"SRS ID","Body Site","Assembly file location","Assembly MD5","Assembly File Size","Reads file location","Reads MD5","Reads File Size"
"SRS063035","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS063035.scaffolds.fa.bz2","8297734c19a054c2765a9164c8726674","915119","/data/Illumina/anterior_nares/SRS063035.tar.bz2","27c5b786ec26ed707440a60d2c67d54c","76757470"
"SRS063178","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS063178.scaffolds.fa.bz2","731eda8d45f9a3c798552d0f20cda2b5","10938","/data/Illumina/anterior_nares/SRS063178.tar.bz2","336f0b31b92880224c91ad52c4784adc","13701163"
"SRS013946","attached_keratinized_gingiva","/data/HMASM/PGAs/attached_keratinized_gingiva/SRS013946.scaffolds.fa.bz2","f502f3c3e5ec7129c95c77d6562068e5","14015539","/data/Illumina/attached_keratinized_gingiva/SRS013946.tar.bz2","2f3eb882d63b22a16352a6107957178f","5104144709"
"SRS011247","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS011247.scaffolds.fa.bz2","aae168230eb2a1cb9a63419849e848eb","8778372","/data/Illumina/buccal_mucosa/SRS011247.tar.bz2","78a6db8899e74fc4de08afbffbe5a6a1","1742396548"
"SRS011310","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS011310.scaffolds.fa.bz2","35f650190d2c52e31a7f9a6352d32a19","7608105","/data/Illumina/buccal_mucosa/SRS011310.tar.bz2","405c0e4bfddbb44071084e22e3aa6c36","1434647151"
"SRS013239","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS013239.scaffolds.fa.bz2","e5fd2d63713b2891ae34d7a65dad1b34","5752402","/data/Illumina/buccal_mucosa/SRS013239.tar.bz2","5b5cae3791f8b5bd518b6a2b0ac35352","896066089"
"SRS013506","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS013506.scaffolds.fa.bz2","f8cbc23b5b653506a0dcc286f4c1e793","6868205","/data/Illumina/buccal_mucosa/SRS013506.tar.bz2","1c0bdf458fe597b36dd770fe3d13d4d5","1465158100"
"SRS014686","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS014686.scaffolds.fa.bz2","14ef847e15ee61eb68a345e08d419626","3613086","/data/Illumina/buccal_mucosa/SRS014686.tar.bz2","6fb82bf74647224e940641b945a8ac84","438999628"
"SRS015059","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS015059.scaffolds.fa.bz2","34d6b9221fea7b7b6f7598e73788829b","176308","/data/Illumina/buccal_mucosa/SRS015059.tar.bz2","9d4dd8f13177dbf6c3e023fd55f08d3d","71631974"
"SRS015540","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS015540.scaffolds.fa.bz2","86f5add833d3ba5f3c41db3099765d7b","7875118","/data/Illumina/buccal_mucosa/SRS015540.tar.bz2","73ff6d9a18991964015bb98d0cd312fd","765432063"
"SRS015646","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS015646.scaffolds.fa.bz2","08f4811ab4f7b52cedb28e181b22b917","2789565","/data/Illumina/buccal_mucosa/SRS015646.tar.bz2","6142bedc0c9b7b03c685282af53f9172","1185179767"
"SRS016039","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS016039.scaffolds.fa.bz2","a6b66c9fc681439fb3e5cfee88455e32","5567486","/data/Illumina/buccal_mucosa/SRS016039.tar.bz2","13052a10599982d3a595030eda9ef0c2","672006614"
"SRS016600","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS016600.scaffolds.fa.bz2","6d74cc5d17fa310d003ade9f1a5c2c46","2527662","/data/Illumina/buccal_mucosa/SRS016600.tar.bz2","8d2d78e858527b1139776b2519d0aa5f","868467112"
"SRS017127","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS017127.scaffolds.fa.bz2","73003fb8ebcbd1a6c4533914615eb7ec","6365559","/data/Illumina/buccal_mucosa/SRS017127.tar.bz2","ccc7105414e3d92301dd0eaba139cc27","2220737513"
